101,organ,n.,器官，风琴,"or,gan",5
102,excess,n.,过分，过量，过剩,"ex,cess",6
103,expel,v.,驱逐，开除，赶出,"ex,pel",5
104,expend,v.,消费,"ex,pen,d",6
105,expenditure,n.,支出，消费;经费,"ex,pen,di,ture",11
106,expense,n.,开销，费用,"ex,pen,se",7
107,expensive,a.,花钱多的;价格高贵的,"ex,pen,sive",9
108,expand,v.,扩大，扩张;展开，膨胀,"ex,pan,d",6
109,expansion,n.,扩大，扩充;发展，膨胀,"ex,pan,sion",9
110,private,a.,私人的，个人的,"pri,va,te",7
111,individual,a.,个别的，单独的,"in,di,vi,dual",10
111,individual,n.,个人，个体,"in,di,vi,dual",10
112,personal,a.,个人的，私人的;亲自的,"per,son,al",8
114,personnel,n.,[总称]人员，员工;人事部门,"per,son,nel",9
115, the Pacific Ocean,n.,太平洋,"the,Pa,ci,fic,o,cean",18
116, the Atlantic Ocean,n.,大西洋,"the,at,lan,tic,o,cean",19
117, the Arctic Ocean,n.,北冰洋,"the,arc,tic,o,cean",17
118, the Antarctic Ocean,n.,南冰洋,"the,an,tarc,tic,o,cean",20
119,grant,vt.,授予，同意，准予,"gran,t",5
119,grand,a.,宏伟大，壮丽的，重大的,"gran,d",5
120,invade,v.,侵入，侵略，侵袭,"in,va,de",6
121,acid,n.,酸，酸性物质,"a,cid",4
121,acid,a.,酸的;尖刻的,"a,cid",4
122,acknowledge,v.,承认;致谢,"ack,now,le,dge",11
123,balcony,n.,阳台,"bal,co,ny",7
124,calculate,vt.,计算，核算,"cal,cu,la,te",9
125,calendar,n.,日历，月历,"ca,len,dar",8
126,optimistic,a.,乐观,"op,ti,mi,stic",10
127,optional,a.,可以任选的，非强制的,"op,tion,al",8
128,outstanding,a.,杰出的，突出的，显著的,"out,stand,ing",11
129,export,n.,出口(物),"ex,port",6
129,export,v.,出口，输出,"ex,port",6
130,import,n.,进口(物),"im,port",6
130,import,v.,进口，输入,"im,port",6
131,impose,vt.,把...加强(on);采用，利用,"im,po,se",6
132,religion,n.,宗教，宗教信仰,"re,li,gion",8
133,religious,a.,宗教的,"re,li,gi,ous",9
134,victim,n.,牺牲品，受害者,"vic,tim",6
135,video,n.,电视，视频,"vi,deo",5
135,video,a.,电视的，录像的,"vi,deo",5
136,videotape,n.,录像磁带,"vi,deo,tape",9
136,videotape,v.,把...录在录像带上,"vi,deo,tape",9
137,offend,v.,冒犯，触犯,"o,ffen,d",6
138,bother,v.,打搅，麻烦,"bo,ther",6
139,interfere,v.,干涉，干扰，妨碍,"in,ter,fere",9
140,internal,a.,内部的，国内的,"in,ter,nal",8
141,beforehand,ad.,预先，事先,"be,fore,han,d",10
142,racial,a.,人种的种族的,"re,cial",6
143,radiation,n.,放射物，辐射,"ra,dia,tion",9
144,radical,a.,根本的;激进的,"ra,di,cal",7
145,range,n.,幅度，范围,"ran,ge",5
145,range,v.,(在某范围内)变动,"ran,ge",5
146,wonder,n.,惊奇，奇迹,"won,der",6
146,wonder,v.,想知道，对...感到疑惑,"won,der",6
147,isolate,vt.,使隔离，使孤立,"I,so,late",7
148,issue,n.,问题，争论点;发行，(报刊)一期,"I,ssue",5
149,hollow,a.,空的，中空的，空虚道,"ho,llow",6
150,hook,n.,钩,"hoo,k",4
150,hook,vt.,钩住,"hoo,k",4
151,adequate,a.,适当地;足够,"a,de,qua,te",8
152,adhere,vi.,粘附，附着;遵守，坚持,"ad,here",6
153,ban,vt.,取缔，禁止,ban,3
154,capture,vt.,俘虏，捕获,"cap,ture",7
155,valid,a.,有效的，有根据的;正当的,"va,lid",5
156,valley,n.,山谷，峡谷,"va,lley",6
157,consistent,a.,坚固定;一致的，始终如一的,"con,sis,tent",10
158,continuous,a.,继续的，连续(不断)的,"con,ti,nuous",10
159,continual,a.,不断地，频繁的,"con,ti,nual",9
160,explode,v.,爆炸;爆发;激增,"ex,plo,de",7
161,exploit,v.,剥削;利用，开采,"ex,plo,it",7
162,explore,v.,勘探,"ex,plo,re",7
163,explosion,n.,爆炸;爆发;激增,"ex,plo,sion",9
164,explosive,a.,爆炸的;极易引起争论的,"ex,plo,si,ve",9
165,remote,a.,遥远的，偏僻的,"re,mo,te",6
166,removal,n.,除去，消除,"re,mo,val",7
167,render,vt.,使得，致使，解释,"ren,der",6
168,precaution,n.,预防，防备，警惕,"pre,cau,tion",10
169,idle,a.,懒散的，无所事事的,"I,dle",4
170,identify,vt.,认出，鉴定,"I,den,ti,fy",8
171,identify,n.,身份;个性，特性,"I,den,ti,fy",8
172,poverty,n.,贫穷,"pr,ver,ty",7
173,resistant,a.,(to)抵抗的，抗...的，耐...的,"re,sis,tant",9
174,resolve,vt.,解决;决定，决意,"re,sol,ve",7
175,barrel,n.,桶,"ba,rrel",6
176,bargain,n.,便宜货,"bar,gain",7
176,bargain,vi.,讨价还价,"bar,gain",7
177,coarse,a.,粗的，粗糙的，粗劣的,"coar,se",6
178,coach,n.,教练;长途公共汽车,"coa,ch",5
179,code,n.,准则，法规，密码,"co,de",4
180,coil,n.,线圈,"co,il",4
180,coil,v.,卷，盘绕,"co,il",4
181,adult,n.,成年人,"a,dul,t",5
182,advertise,v.,为...做广告,"ad,ver,ti,se",9
183,advertisement,n.,广告,"ad,ver,ti,se,ment",13
184,agency,n.,代理商，经销商,"a,gen,cy",6
185,focus,v.,(使)聚集,"fo,cus",5
185,focus,n.,焦点，中心，聚焦,"fo,cus",5
186,forbid,vt.,不许，禁止,"for,bid",6
187,debate,n./v.,辩论，争论,"de,ba,te",6
188,debt,n.,欠债,"de,bt",4
189,decade,n.,十年,"de,ca,de",6
